SuburbID	SuburbName	SuburbURL
123	Monash Ridge, ACT, 2904	monash-ridge/121900810
124	Bonython, ACT, 2905	bonython/121468010
125	Calwell, ACT, 2905	calwell/121473010
126	Chisholm, ACT, 2905	chisholm/121499810
127	Gilmore, ACT, 2905	gilmore/121484510
128	Isabella Plains, ACT, 2905	isabella-plains/121463910
129	Melrose Valley, ACT, 2905	melrose-valley/121590210
130	Richardson, ACT, 2905	richardson/121483610
131	Theodore, ACT, 2905	theodore/121476710
132	Banks, ACT, 2906	banks/121494010
133	Conder, ACT, 2906	conder/121451310
134	Conder Ridge, ACT, 2906	conder-ridge/121901110
135	Eastern Valley Rise, ACT, 2906	eastern-valley-rise/121900910
136	Gordon, ACT, 2906	gordon/121499510
137	Crace, ACT, 2911	crace/1235510
138	Mitchell, ACT, 2911	mitchell/121457610
139	Gungahlin, ACT, 2912	gungahlin/121477910
140	Gungahlin District, ACT, 2912	gungahlin-district/121801610
141	Yerrabi, ACT, 2912	yerrabi/121900010
142	Broadview, ACT, 2913	broadview/122170510
143	Casey, ACT, 2913	casey/121491910
144	Franklin, ACT, 2913	franklin/121457210
145	Ginninderra Village, ACT, 2913	ginninderra-village/121801310
146	Harcourt Hill, ACT, 2913	harcourt-hill/121899910
147	Ngunnawal, ACT, 2913	ngunnawal/121470010
148	Nicholls, ACT, 2913	nicholls/121477410
149	Palmerston, ACT, 2913	palmerston/121462710
150	Springbank Rise, ACT, 2913	springbank-rise/121942110
151	Taylor, ACT, 2913	taylor/122708410
152	Amaroo, ACT, 2914	amaroo/121484910
153	Bonner, ACT, 2914	bonner/121483710
154	Forde, ACT, 2914	forde/121485110
155	Harrison, ACT, 2914	harrison/121474810
156	Jacka, ACT, 2914	jacka/122195610
157	Moncrieff, ACT, 2914	moncrieff/122618810
158	Throsby, ACT, 2914	throsby/122684910
